name,type,country,urban_fraction,s1_count,alos2_count,s2_total,s2_usable,landsat_total,landsat_usable,s1_pairs,alos2_pairs,s1_pair_details,alos2_pair_details,total_pairs,grade,grade_order
Houston_Harvey_2017,Hurricane,USA,0.22255562495625866,5,7,38,17,2,1,5,4,"[{'sar_date': '2017-08-28', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 34, 'optical_matches': 2, 'best_optical': {'date': '2017-08-30', 'cloud': 0.38756}}, {'sar_date': '2017-08-28', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 34, 'optical_matches': 2, 'best_optical': {'date': '2017-08-30', 'cloud': 0.38756}}, {'sar_date': '2017-09-04', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 136, 'optical_matches': 6, 'best_optical': {'date': '2017-09-04', 'cloud': 12.89}}, {'sar_date': '2017-09-05', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 143, 'optical_matches': 6, 'best_optical': {'date': '2017-09-04', 'cloud': 12.89}}, {'sar_date': '2017-08-30', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 143, 'optical_matches': 2, 'best_optical': {'date': '2017-08-30', 'cloud': 0.38756}}]","[{'sar_date': '2017-08-29', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 2, 'best_optical': {'date': '2017-08-30', 'cloud': 0.38756}}, {'sar_date': '2017-08-29', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 2, 'best_optical': {'date': '2017-08-30', 'cloud': 0.38756}}, {'sar_date': '2017-09-05', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 6, 'best_optical': {'date': '2017-09-04', 'cloud': 12.89}}, {'sar_date': '2017-09-05', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 6, 'best_optical': {'date': '2017-09-04', 'cloud': 12.89}}]",9,A,0
Brisbane_2022,Fluvial,Australia,0.18661779692149585,3,0,14,5,2,0,3,0,"[{'sar_date': '2022-03-02', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 74, 'optical_matches': 1, 'best_optical': {'date': '2022-03-01', 'cloud': 22.486073}}, {'sar_date': '2022-03-02', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 74, 'optical_matches': 1, 'best_optical': {'date': '2022-03-01', 'cloud': 22.486073}}, {'sar_date': '2022-03-07', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 147, 'optical_matches': 1, 'best_optical': {'date': '2022-03-06', 'cloud': 4.525453}}]",[],3,A,0
Valencia_Spain_2024,Flash_flood,Spain,0.11795639985507313,7,0,12,2,7,3,7,0,"[{'sar_date': '2024-10-31', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 103, 'optical_matches': 2, 'best_optical': {'date': '2024-10-30', 'cloud': 1.69}}, {'sar_date': '2024-11-01', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 110, 'optical_matches': 2, 'best_optical': {'date': '2024-10-30', 'cloud': 1.69}}, {'sar_date': '2024-11-01', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 110, 'optical_matches': 2, 'best_optical': {'date': '2024-10-30', 'cloud': 1.69}}, {'sar_date': '2024-11-06', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 8, 'optical_matches': 3, 'best_optical': {'date': '2024-11-06', 'cloud': 15.55}}, {'sar_date': '2024-11-06', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 8, 'optical_matches': 3, 'best_optical': {'date': '2024-11-06', 'cloud': 15.55}}, {'sar_date': '2024-11-07', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 30, 'optical_matches': 1, 'best_optical': {'date': '2024-11-06', 'cloud': 15.55}}, {'sar_date': '2024-11-07', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 30, 'optical_matches': 1, 'best_optical': {'date': '2024-11-06', 'cloud': 15.55}}]",[],7,B,1
Liege_Belgium_2021,Fluvial,Belgium,0.12881056409991096,9,0,15,5,2,2,5,0,"[{'sar_date': '2021-07-18', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 88, 'optical_matches': 4, 'best_optical': {'date': '2021-07-18', 'cloud': 0.05}}, {'sar_date': '2021-07-22', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 139, 'optical_matches': 3, 'best_optical': {'date': '2021-07-21', 'cloud': 0.467364}}, {'sar_date': '2021-07-17', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 161, 'optical_matches': 4, 'best_optical': {'date': '2021-07-18', 'cloud': 0.05}}, {'sar_date': '2021-07-17', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 161, 'optical_matches': 4, 'best_optical': {'date': '2021-07-18', 'cloud': 0.05}}, {'sar_date': '2021-07-21', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 37, 'optical_matches': 5, 'best_optical': {'date': '2021-07-19', 'cloud': 0.126295}}]",[],5,B,1
Cologne_Germany_2021,Fluvial,Germany,0.21436886527408464,5,0,4,2,0,0,2,0,"[{'sar_date': '2021-07-18', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 88, 'optical_matches': 2, 'best_optical': {'date': '2021-07-18', 'cloud': 4.341014}}, {'sar_date': '2021-07-19', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 15, 'optical_matches': 2, 'best_optical': {'date': '2021-07-18', 'cloud': 4.341014}}]",[],2,B,1
Zhengzhou_China_2021,Flash_flood,China,0.3063780442844664,2,0,4,2,0,0,2,0,"[{'sar_date': '2021-07-27', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 40, 'optical_matches': 2, 'best_optical': {'date': '2021-07-25', 'cloud': 8.299645}}, {'sar_date': '2021-07-27', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 40, 'optical_matches': 2, 'best_optical': {'date': '2021-07-25', 'cloud': 8.299645}}]",[],2,B,1
Paris_Seine_2016,Fluvial,France,0.3545532143572546,6,0,0,0,1,1,1,0,"[{'sar_date': '2016-06-09', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 8, 'optical_matches': 1, 'best_optical': {'date': '2016-06-09', 'cloud': 15.63}}]",[],1,B,1
Sydney_2022,Fluvial,Australia,0.15537329378625736,10,0,20,1,8,1,1,0,"[{'sar_date': '2022-03-10', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 9, 'optical_matches': 2, 'best_optical': {'date': '2022-03-09', 'cloud': 8.297893}}]",[],1,B,1
Jeddah_2022,Flash_flood,Saudi Arabia,0.2520553518834907,1,0,4,4,1,1,1,0,"[{'sar_date': '2022-11-29', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 14, 'optical_matches': 1, 'best_optical': {'date': '2022-11-30', 'cloud': 26.59}}]",[],1,B,1
Pakistan_Sindh_2022,Monsoon,Pakistan,0.024888958893029264,25,14,48,15,24,14,13,12,"[{'sar_date': '2022-08-03', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 42, 'optical_matches': 1, 'best_optical': {'date': '2022-08-04', 'cloud': 7.37}}, {'sar_date': '2022-08-05', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 78, 'optical_matches': 1, 'best_optical': {'date': '2022-08-04', 'cloud': 7.37}}, {'sar_date': '2022-08-27', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 42, 'optical_matches': 1, 'best_optical': {'date': '2022-08-28', 'cloud': 16.28}}, {'sar_date': '2022-08-29', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 78, 'optical_matches': 4, 'best_optical': {'date': '2022-08-31', 'cloud': 7.84828}}, {'sar_date': '2022-09-03', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 144, 'optical_matches': 3, 'best_optical': {'date': '2022-09-05', 'cloud': 0.56243}}, {'sar_date': '2022-09-05', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 5, 'optical_matches': 5, 'best_optical': {'date': '2022-09-05', 'cloud': 0.56243}}, {'sar_date': '2022-09-05', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 5, 'optical_matches': 5, 'best_optical': {'date': '2022-09-05', 'cloud': 0.56243}}, {'sar_date': '2022-09-08', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 42, 'optical_matches': 4, 'best_optical': {'date': '2022-09-10', 'cloud': 0.012097}}, {'sar_date': '2022-09-10', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 78, 'optical_matches': 4, 'best_optical': {'date': '2022-09-10', 'cloud': 0.012097}}, {'sar_date': '2022-09-15', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 144, 'optical_matches': 1, 'best_optical': {'date': '2022-09-14', 'cloud': 14.22}}, {'sar_date': '2022-09-20', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 42, 'optical_matches': 8, 'best_optical': {'date': '2022-09-20', 'cloud': 0.004724}}, {'sar_date': '2022-09-22', 'sar_orbit': 'DESCENDING', 'sar_rel_orbit': 78, 'optical_matches': 4, 'best_optical': {'date': '2022-09-22', 'cloud': 0.06}}, {'sar_date': '2022-09-27', 'sar_orbit': 'ASCENDING', 'sar_rel_orbit': 144, 'optical_matches': 2, 'best_optical': {'date': '2022-09-29', 'cloud': 5.07}}]","[{'sar_date': '2022-08-31', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 3, 'best_optical': {'date': '2022-08-31', 'cloud': 7.84828}}, {'sar_date': '2022-08-31', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 3, 'best_optical': {'date': '2022-08-31', 'cloud': 7.84828}}, {'sar_date': '2022-09-05', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 5, 'best_optical': {'date': '2022-09-05', 'cloud': 0.56243}}, {'sar_date': '2022-09-05', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 5, 'best_optical': {'date': '2022-09-05', 'cloud': 0.56243}}, {'sar_date': '2022-09-09', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 4, 'best_optical': {'date': '2022-09-10', 'cloud': 0.012097}}, {'sar_date': '2022-09-09', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 4, 'best_optical': {'date': '2022-09-10', 'cloud': 0.012097}}, {'sar_date': '2022-09-10', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 4, 'best_optical': {'date': '2022-09-10', 'cloud': 0.012097}}, {'sar_date': '2022-09-13', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 3, 'best_optical': {'date': '2022-09-13', 'cloud': 7.68}}, {'sar_date': '2022-09-14', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 3, 'best_optical': {'date': '2022-09-13', 'cloud': 7.68}}, {'sar_date': '2022-09-14', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 3, 'best_optical': {'date': '2022-09-13', 'cloud': 7.68}}, {'sar_date': '2022-09-18', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 4, 'best_optical': {'date': '2022-09-20', 'cloud': 0.004724}}, {'sar_date': '2022-09-18', 'sar_orbit': 'N/A', 'sar_rel_orbit': 'N/A', 'optical_matches': 4, 'best_optical': {'date': '2022-09-20', 'cloud': 0.004724}}]",25,C,2
