epoch,train_loss,test_flood_f1,test_macro_f1,test_precision,test_recall
1,0.02891,0.09162,0.52797,,
2,0.01657,0.07749,0.52087,,
3,0.01343,0.0719,0.49818,,
4,0.01244,0.09448,0.51942,,
5,0.01061,0.09032,0.51238,,
6,0.00981,0.12037,0.53427,,
7,0.0094,0.13164,0.54471,,
8,0.00905,0.0936,0.50302,,
9,0.00848,0.10772,0.52807,,
10,0.00814,0.09408,0.51613,,
11,0.00753,0.12421,0.54002,,
12,0.00698,0.11681,0.53776,,
13,0.00667,0.13617,0.54869,,
14,0.00666,0.14285,0.55068,,
15,0.0066,0.1271,0.54303,,
16,0.00571,0.08806,0.49849,,
17,0.0055,0.10546,0.52651,,
18,0.0054,0.08928,0.50667,,
19,0.00495,0.0927,0.51392,,
20,0.0048,0.09536,0.51856,,
21,0.00428,0.08979,0.50836,,
22,0.00456,0.08186,0.49305,,
