epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02353,0.59521,0.0828,0.0456,0.44905,0.51274
1,0.02358,0.62012,0.08662,0.04801,0.44226,0.51654
2,0.01544,0.63674,0.06973,0.03753,0.49155,0.49637
2,0.01566,0.65916,0.08467,0.04619,0.50755,0.51051
3,0.01296,0.66891,0.08387,0.04655,0.4229,0.51544
3,0.01303,0.68313,0.08679,0.04708,0.55492,0.50938
4,0.01184,0.70279,0.09717,0.05932,0.26845,0.53464
4,0.01209,0.69424,0.12133,0.098,0.15922,0.55432
5,0.01075,0.70896,0.10596,0.05828,0.58327,0.5246
5,0.01108,0.73043,0.10894,0.06058,0.54027,0.52915
6,0.01007,0.76649,0.19837,0.1284,0.43586,0.5894
7,0.0098,0.76723,0.12509,0.06961,0.61618,0.53786
6,0.01012,0.7607,0.18157,0.11884,0.3846,0.58116
8,0.00895,0.76919,0.11093,0.06218,0.5134,0.53197
7,0.01016,0.75845,0.13425,0.07556,0.60085,0.54504
9,0.00841,0.80458,0.12671,0.07255,0.49986,0.54384
8,0.00925,0.76237,0.09364,0.05097,0.57486,0.5145
10,0.00862,0.80339,0.13441,0.07785,0.49164,0.54933
9,0.00827,0.79547,0.10329,0.05635,0.61902,0.52048
11,0.00728,0.78353,,,,
12,0.00784,0.78335,,,,
10,0.0088,0.78964,0.13032,0.07394,0.54883,0.54435
13,0.00726,0.84206,0.1234,0.06811,0.65573,0.53489
11,0.00747,0.73095,0.12792,0.07259,0.53786,0.54313
14,0.00652,0.80976,,,,
15,0.00656,0.83832,0.13216,0.07551,0.52908,0.54639
12,0.00812,0.78745,0.11277,0.06272,0.55849,0.5312
16,0.00624,0.74137,,,,
13,0.00668,0.80268,0.09762,0.05396,0.51171,0.52162
17,0.00569,0.85495,0.13162,0.0776,0.43324,0.54974
14,0.00658,0.81136,0.11126,0.06071,0.66442,0.52486
18,0.00561,0.86112,0.10851,0.0598,0.58554,0.52655
19,0.00536,0.85351,,,,
15,0.00638,0.83664,0.10644,0.05944,0.50855,0.5288
20,0.00491,0.86865,0.12151,0.06858,0.53221,0.53885
16,0.00641,0.78416,0.09977,0.05371,0.70086,0.51277
21,0.00508,0.84932,,,,
22,0.00477,0.85704,,,,
17,0.00592,0.82881,0.10866,0.06092,0.50196,0.53082
23,0.00393,0.87233,0.11241,0.062,0.60136,0.52887
18,0.00539,0.83706,0.10091,0.05543,0.56249,0.52153
24,0.00369,0.88225,0.11417,0.06368,0.5512,0.53261
19,0.00573,0.76243,0.07845,0.04152,0.71021,0.48906
25,0.0039,0.8579,0.11355,0.06187,0.68941,0.52553
20,0.00504,0.85429,0.09483,0.05208,0.5295,0.51824
26,0.00383,0.84085,,,,
27,0.00361,0.86971,,,,
21,0.00491,0.86329,0.08661,0.04686,0.57129,0.50812
28,0.0031,0.83853,,,,
29,0.00324,0.86554,,,,
22,0.00465,0.85442,0.09353,0.05098,0.56521,0.51497
30,0.00284,0.86468,0.09401,0.0504,0.69757,0.50736
23,0.00384,0.83165,0.10809,0.05937,0.60297,0.52533
31,0.0028,0.85208,,,,
32,0.00274,0.8097,,,,
24,0.00417,0.88345,0.11402,0.06361,0.54955,0.53258
25,0.00387,0.86758,0.10869,0.0595,0.62744,0.52458
26,0.00378,0.80652,0.11918,0.06734,0.51797,0.53781
27,0.00349,0.86595,0.1115,0.06127,0.61918,0.52728
28,0.00316,0.85628,0.0956,0.05126,0.7081,0.5083
29,0.00294,0.88445,0.09951,0.05427,0.59859,0.51833
30,0.00288,0.84893,0.08447,0.04523,0.6377,0.50141
31,0.00294,0.83911,0.08631,0.04608,0.67902,0.50053
32,0.00295,0.85349,0.08923,0.04773,0.68495,0.50326
33,0.00258,0.85941,0.09044,0.04864,0.64295,0.50722
34,0.00292,0.86117,0.08738,0.04703,0.61425,0.50603
35,0.00249,0.85745,0.08362,0.04449,0.69379,0.4965
36,0.00254,0.84927,0.08618,0.04587,0.71093,0.4982
37,0.00261,0.86728,0.08947,0.04771,0.71875,0.50129
