epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02027,0.433,0.06404,0.03967,0.16603,0.51848
2,0.01531,0.53907,0.07335,0.03986,0.45947,0.5029
3,0.01402,0.52541,0.10054,0.06823,0.19098,0.54081
4,0.01209,0.66359,0.08258,0.04771,0.30705,0.52202
5,0.01111,0.68723,0.10234,0.05728,0.47935,0.52715
6,0.01084,0.63902,0.08723,0.04707,0.5931,0.50728
7,0.01037,0.7231,0.08126,0.04459,0.45819,0.51071
8,0.00976,0.74698,0.11261,0.06794,0.32874,0.5418
9,0.0088,0.7545,0.10517,0.05847,0.52258,0.5271
10,0.00812,0.73019,0.10632,0.0592,0.52066,0.52809
11,0.00786,0.70665,0.09082,0.04988,0.50649,0.51615
12,0.00767,0.81496,0.09221,0.05118,0.46501,0.51984
13,0.00699,0.77265,0.10015,0.05707,0.40886,0.52923
14,0.00736,0.74846,0.08787,0.04743,0.59634,0.5077
15,0.0064,0.75532,0.08435,0.04564,0.55515,0.50698
16,0.00606,0.78974,0.08557,0.04697,0.47984,0.51318
17,0.00525,0.77374,0.08254,0.0448,0.52366,0.50737
18,0.00516,0.72684,0.09036,0.04814,0.73551,0.50114
19,0.00489,0.79473,0.10162,0.05679,0.48218,0.52644
20,0.00511,0.74804,0.081,0.04303,0.68854,0.49384
