epoch,train_loss,val_flood_f1,test_flood_f1,test_flood_precision,test_flood_recall,test_macro_f1
1,0.02861,0.15739,0.03313,0.017,0.65228,0.38532
2,0.01407,0.32034,0.0467,0.02415,0.70435,0.43014
3,0.0114,0.41757,0.08116,0.04316,0.6788,0.49475
4,0.01018,0.39525,,,,
5,0.00878,0.41097,0.05558,0.02867,0.90762,0.42617
6,0.00862,0.41414,,,,
7,0.00819,0.50926,0.06967,0.03627,0.87958,0.46105
8,0.00773,0.56733,0.08806,0.04824,0.50409,0.51384
9,0.00721,0.53425,,,,
10,0.00688,0.58365,0.07046,0.03667,0.89436,0.46103
11,0.00603,0.61448,0.07687,0.0404,0.788,0.48069
12,0.00587,0.68927,0.07701,0.04047,0.7915,0.4806
13,0.00532,0.65186,,,,
14,0.00539,0.37657,,,,
15,0.00508,0.67078,0.07852,0.04125,0.8136,0.48093
16,0.00466,0.62506,,,,
17,0.00449,0.6243,,,,
18,0.00435,0.65819,,,,
19,0.00389,0.70989,0.07891,0.04159,0.76715,0.48517
20,0.00387,0.61186,0.06177,0.032,0.88369,0.44472
21,0.00386,0.65956,,,,
22,0.00345,0.70819,,,,
23,0.00339,0.62701,,,,
24,0.00315,0.65512,,,,
25,0.00304,0.60146,0.06109,0.03164,0.88468,0.44307
26,0.00286,0.61542,,,,
27,0.00289,0.7287,0.07006,0.03662,0.80948,0.46842
28,0.00278,0.65942,,,,
29,0.00278,0.71742,,,,
30,0.00235,0.74145,0.08113,0.04291,0.74324,0.48988
31,0.00247,0.69902,,,,
32,0.00224,0.65492,,,,
33,0.00221,0.70698,,,,
34,0.00209,0.71756,,,,
35,0.00211,0.69479,0.06742,0.03517,0.81301,0.46355
36,0.00213,0.68455,,,,
37,0.00219,0.68768,,,,
38,0.00218,0.69219,,,,
