epoch,train_loss,test_f1,test_iou
1,0.39991,0.33333,0.33333
2,0.36728,0.33333,0.33333
3,0.36162,0.33333,0.33333
4,0.35979,0.33333,0.33333
5,0.35919,0.33333,0.33333
6,0.35893,0.33333,0.33333
7,0.35882,0.33333,0.33333
8,0.35882,0.33333,0.33333
9,0.35853,0.33333,0.33333
10,0.35857,0.33333,0.33333
11,0.35852,0.33333,0.33333
12,0.35853,0.33333,0.33333
13,0.3584,0.33333,0.33333
14,0.35836,0.33333,0.33333
15,0.35839,0.33333,0.33333
16,0.35835,0.33333,0.33333
17,0.3583,0.33333,0.33333
18,0.3583,0.33333,0.33333
19,0.35824,0.33333,0.33333
20,0.35823,0.33333,0.33333
