epoch,train_loss,test_f1,test_iou
1,0.51171,0.33273,0.33213
2,0.42278,0.33333,0.33332
3,0.40759,0.33329,0.33324
4,0.40116,0.33333,0.33333
5,0.39576,0.33333,0.33333
6,0.39209,0.33333,0.33333
7,0.39417,0.33333,0.33333
8,0.38524,0.33333,0.33333
9,0.38159,0.33333,0.33333
10,0.37962,0.33333,0.33333
11,0.37696,0.33333,0.33333
12,0.37557,0.33333,0.33333
13,0.37362,0.33333,0.33333
14,0.37309,0.33333,0.33333
15,0.37166,0.33333,0.33333
16,0.37122,0.33333,0.33333
17,0.36984,0.33333,0.33333
18,0.36831,0.33333,0.33333
19,0.3677,0.33333,0.33333
20,0.36883,0.33333,0.33332
21,0.36651,0.33333,0.33333
22,0.36703,0.33333,0.33333
23,0.36526,0.33333,0.33333
24,0.36551,0.33333,0.33333
25,0.36476,0.33333,0.33333
26,0.36355,0.33333,0.33333
27,0.36276,0.33333,0.33333
28,0.36285,0.33333,0.33333
29,0.36287,0.33333,0.33333
30,0.36224,0.33333,0.33333
31,0.3618,0.33333,0.33333
32,0.36191,0.33333,0.33333
33,0.36098,0.33333,0.33333
34,0.36158,0.33333,0.33333
35,0.36098,0.33333,0.33333
36,0.36092,0.33333,0.33333
37,0.36107,0.33333,0.33333
38,0.36062,0.33333,0.33333
39,0.36069,0.33333,0.33333
40,0.36008,0.33333,0.33333
41,0.36098,0.33333,0.33333
42,0.36055,0.33333,0.33333
43,0.35987,0.33333,0.33333
44,0.35996,0.33333,0.33333
45,0.36016,0.33333,0.33333
46,0.35984,0.33333,0.33333
47,0.35955,0.33333,0.33333
48,0.3597,0.33333,0.33333
49,0.35973,0.33333,0.33333
50,0.35947,0.33333,0.33333
