epoch,train_loss,val_loss,val_f1,val_iou
1,0.12678,0.16838,0.9657,0.93367
2,0.05751,0.05187,0.99884,0.99768
3,0.03221,0.03852,0.99996,0.99992
4,0.02533,0.03633,1.0,1.0
5,0.02344,0.03563,1.0,1.0
6,0.02283,0.03558,1.0,1.0
7,0.02259,0.03557,1.0,1.0
8,0.02251,0.0357,1.0,1.0
9,0.02246,0.03568,1.0,1.0
10,0.02243,0.03569,1.0,1.0
11,0.02242,0.0357,1.0,1.0
12,0.02241,0.03571,1.0,1.0
13,0.0224,0.03582,1.0,1.0
14,0.02243,0.03582,1.0,1.0
15,0.0224,0.03582,1.0,1.0
16,0.0224,0.03595,1.0,1.0
17,0.02241,0.03579,1.0,1.0
18,0.02238,0.03569,1.0,1.0
19,0.0224,0.03575,1.0,1.0
20,0.02239,0.03571,1.0,1.0
21,0.02239,0.0357,1.0,1.0
22,0.02238,0.03572,1.0,1.0
23,0.02238,0.03574,1.0,1.0
24,0.02239,0.03577,1.0,1.0
25,0.02238,0.03574,1.0,1.0
26,0.02238,0.03577,1.0,1.0
27,0.02238,0.03573,1.0,1.0
28,0.02237,0.03577,1.0,1.0
29,0.02236,0.03575,1.0,1.0
30,0.02237,0.03574,1.0,1.0
