epoch,train_loss,test_loss,test_f1,test_iou
1,0.89887,0.59063,0.35606,0.33488
2,0.7566,0.5682,0.35563,0.3234
3,0.71164,0.50485,0.36566,0.33469
4,0.69906,0.56654,0.34937,0.31575
5,0.68134,0.58022,0.34179,0.30572
6,0.66067,0.54553,0.34969,0.3154
7,0.64639,0.56294,0.35191,0.31212
8,0.63977,0.60047,0.34767,0.30662
9,0.62131,0.46696,0.38939,0.34728
10,0.61831,0.5451,0.37466,0.33206
11,0.60801,0.523,0.37651,0.33379
12,0.60963,0.50051,0.38347,0.34253
13,0.59203,0.58817,0.36492,0.32505
14,0.59845,0.62966,0.36188,0.31672
15,0.59185,0.78066,0.33929,0.29439
16,0.58406,0.67735,0.36029,0.31826
17,0.57115,0.60366,0.37025,0.32987
18,0.57607,0.64047,0.36093,0.32123
19,0.5453,0.78156,0.34597,0.30298
20,0.55812,0.62866,0.3655,0.32547
21,0.55097,0.70729,0.35759,0.31765
22,0.55371,0.74556,0.35755,0.31614
23,0.54001,0.77524,0.35033,0.30776
24,0.54117,0.65914,0.37129,0.33063
25,0.53465,0.70492,0.35819,0.3163
26,0.53364,0.71231,0.36285,0.32272
27,0.53717,0.66856,0.36668,0.32785
28,0.52945,0.81466,0.34906,0.307
29,0.51644,0.81625,0.35,0.30799
30,0.5212,0.86798,0.34807,0.30501
31,0.52236,0.95873,0.33788,0.29428
32,0.51833,0.87525,0.34608,0.30383
33,0.50889,0.87072,0.34576,0.30382
34,0.52846,0.88291,0.34543,0.30281
35,0.52295,0.88824,0.34391,0.30167
36,0.52124,0.86848,0.34561,0.30289
37,0.5161,0.82755,0.34737,0.30559
38,0.52408,0.93456,0.34072,0.29757
39,0.51235,0.94364,0.33868,0.29494
40,0.51294,0.89941,0.34325,0.3004
