epoch,train_loss,test_loss,test_f1,test_iou
1,0.24275,0.02669,0.43762,0.37151
2,0.14125,0.01877,0.53036,0.46834
3,0.11431,0.02183,0.52648,0.46632
4,0.10195,0.0231,0.52074,0.46075
5,0.09936,0.01837,0.54265,0.48295
6,0.08555,0.02026,0.4873,0.42674
7,0.08754,0.01767,0.54974,0.4907
8,0.09028,0.0248,0.5029,0.44375
9,0.08208,0.01791,0.55279,0.49437
10,0.0809,0.02026,0.54047,0.48092
11,0.06955,0.02184,0.52156,0.46119
12,0.07604,0.01937,0.55822,0.50099
13,0.06874,0.02224,0.53159,0.47173
14,0.06652,0.02166,0.45014,0.39027
15,0.06957,0.02153,0.54624,0.48749
16,0.06615,0.02114,0.54011,0.4805
17,0.06383,0.02203,0.53716,0.47759
18,0.04989,0.02144,0.54601,0.48719
19,0.05342,0.02156,0.54249,0.48318
20,0.0524,0.02292,0.53037,0.47057
21,0.05241,0.02274,0.53557,0.47593
22,0.05225,0.02206,0.5417,0.48248
23,0.0553,0.02042,0.55362,0.4957
24,0.04818,0.02195,0.54316,0.48407
25,0.05654,0.02103,0.54982,0.49142
26,0.04626,0.02084,0.5505,0.49211
27,0.04989,0.02198,0.54322,0.48413
28,0.04922,0.02072,0.55214,0.49399
29,0.0514,0.02107,0.55069,0.49238
30,0.04583,0.02181,0.54448,0.48549
