epoch,train_loss,test_loss,test_f1,test_iou
1,0.02335,0.04533,0.0384,0.36248
2,0.01296,0.031,0.04979,0.35706
3,0.01068,0.03399,0.06569,0.40471
4,0.00911,0.03226,0.07543,0.4187
5,0.00835,0.03458,0.07036,0.41098
6,0.00807,0.03438,0.08526,0.4418
7,0.00684,0.0318,0.07463,0.41255
8,0.00675,0.0346,0.07866,0.4254
9,0.00645,0.03556,0.09135,0.44861
10,0.0057,0.0308,0.0783,0.41047
11,0.00563,0.0295,0.08118,0.42124
12,0.0054,0.03303,0.08215,0.43029
13,0.00526,0.0291,0.07496,0.40408
14,0.00467,0.03057,0.07596,0.40821
15,0.0049,0.02739,0.06162,0.3683
16,0.00452,0.03545,0.08186,0.42592
17,0.00428,0.03438,0.07103,0.4067
18,0.0043,0.0341,0.08564,0.42974
19,0.00443,0.03255,0.10211,0.4518
20,0.00365,0.03044,0.05681,0.35688
21,0.00371,0.03016,0.08207,0.42128
22,0.00335,0.03658,0.08125,0.42586
23,0.00299,0.03786,0.09238,0.44536
24,0.00331,0.03639,0.09184,0.43791
25,0.00291,0.03619,0.08438,0.42796
26,0.00275,0.03575,0.07813,0.41373
27,0.00256,0.03841,0.09223,0.43624
28,0.00235,0.0379,0.08631,0.42723
29,0.00246,0.04367,0.08418,0.43307
30,0.00213,0.043,0.09354,0.44216
31,0.00247,0.03708,0.0885,0.43236
32,0.00219,0.03554,0.08857,0.43391
33,0.00215,0.03796,0.08714,0.43094
34,0.00192,0.04009,0.08337,0.42513
35,0.00198,0.03828,0.08743,0.4308
36,0.00199,0.04305,0.08759,0.43396
37,0.00192,0.04213,0.08271,0.4242
38,0.0019,0.03953,0.08374,0.42613
39,0.002,0.03898,0.08634,0.43098
40,0.00192,0.04137,0.08825,0.43419
