epoch,train_loss,test_loss,test_f1,test_iou
1,0.01774,0.03677,0.0416,0.33482
2,0.01202,0.03509,0.0547,0.38073
3,0.01046,0.03842,0.07546,0.42419
4,0.00906,0.03502,0.05561,0.36557
5,0.0086,0.03062,0.05727,0.36068
6,0.00736,0.02919,0.05753,0.35912
7,0.00713,0.04407,0.09116,0.44362
8,0.00674,0.03407,0.09069,0.44374
9,0.00717,0.02828,0.07451,0.39868
10,0.00638,0.03153,0.09136,0.44477
11,0.00571,0.03109,0.08115,0.4188
12,0.00522,0.03999,0.08246,0.43846
13,0.00515,0.02849,0.07421,0.40253
14,0.00563,0.03341,0.08124,0.42181
15,0.00483,0.02894,0.0712,0.395
16,0.00432,0.03382,0.06591,0.39216
17,0.00435,0.05009,0.12032,0.48102
18,0.00421,0.03706,0.06268,0.37567
19,0.00391,0.03423,0.06318,0.37566
20,0.00341,0.04346,0.07926,0.43288
21,0.00333,0.03455,0.05786,0.35942
22,0.00315,0.0285,0.06376,0.37757
23,0.00306,0.034,0.07587,0.4088
24,0.00288,0.03578,0.08452,0.42534
25,0.00245,0.03763,0.07995,0.41973
